0,,0,,0,I am looking for a fulltime Master program in Renewable Energy Engineering that is taught in English. The program should focus on sustainable technologies.,1,"I want to find a two-year Master program in AI, onsite, and can during the program I want to do a practicum or intern.",0,,1,,1,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,1,"I am looking for a Public Health master, it should last for two years, taught in German, focus on Health policy",1,,1,
0,,0,,1,,0,,0,,1,,0,,0,,1,,0,,1,,0,,1,,0,,1,,1,,0,,1,,0,,0,
1,,0,,0,,0,,1,,0,,0,,1,,0,,0,,0,,0,,1,,1,,1,,0,,1,,0,,1,,0,
1,,0,,0,,0,,0,,1,,0,,0,,1,,0,,0,,0,,0,,0,,1,,1,,0,,0,,0,,0,
0,,0,,1,,1,,0,,1,,1,,0,,0,,1,,0,,0,,1,,0,,1,,0,,1,,1,,0,,1,
1,I am looking for a Master of Science in Data Science which is taught on campus with a one-year duration and is ideally in English.,1,"I want a Master’s degree in Business Administration which focus on entrepreneurship and has online, part-time classes.",1,"I'm looking for a full - time Master's program in Renewable Energy Engineering, preferably in English, which emphasizes on  sustainable technologies.",0,,0,,1,"I am looking for an English-taught Master’s in Education, which focus on early childhood development and offered online.",0,,1,’m interested in a one-year Master's program in Engineering that specifices in renewable energy and includes hands-on lab experience.,1,I am searching for a Master of Laws (LL.M.) program in International Law which is English-speaking and preferably full-time.,0,,1,I am seeking a full-time Master’s program in Robotics Engineering which is in English and it has practical projects.,0,,1,I am interested in a part-time Master’s in Music which focuses on music production and taught in German.,0,,1,I am looking for a two-year Master’s degree in Environmental Science which offered in English and has a specialization in climate change.,1,"A Master of Science in Psychology, which focus on human cognition and emotions, is taught in English, ",1,I'd love to study a Master in Aerospace Engineering in English which focus on hands - on experience and has i,1,"I am looking for a Master’s in Public Health, which focus on health policy, lasts two years long and has courses in German.",0,,1,"I want a Master of Arts in Graphic Design, which is available in English, offered on campus with a focus on digital media."
1,I am looking for a one-year Master of Science in Data Science taught on campus in English. ,1,,0,,1,"My ideal program is a two-year Master's in Artificial Intelligence, with practical experience and internship opportunities, and delivered on campus.",0,,0,,1,I want a part-time Master's in Arts that is available in Germen and specializes in media and digital communication.,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,I'd love to study a Master in Aerospace Engineering in English that focus on hands-on experience.,0,,0,,1,"I want a Master of Arts in Graphic Design taught on campus with a focus on digital media, available in English."
0,,0,,0,,0,,0,,1,"Looking for an Master's in Education taught in English, with a focus on early childhood development and offered online",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"I prefer Master of Science in Machine Learning program, with classes in Englisg and an emphasis kn theoratical foundations",0,
0,,0,,1,,0,,0,,0,,0,,1,,1,,0,,0,,0,,1,,1,,0,,0,,0,,0,,0,,0,
1,,0,,1,,0,,0,,1,"Looking for a Master’s Education class in English, with a focus on early childhood development and study online.",0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,1,,0,
0,,0,,1,,0,,0,,1,,1,,0,,1,,0,,1,,0,,0,,0,,1,,1,,0,,1,,1,,0,
1,"I'm looking for a master program in data science, I want it to be in english, with on-site classes, and lasts for a year",0,,0,,1,,0,,0,,1,,0,,0,,0,,1,,1,,1,,0,,0,,0,,0,,0,,0,,0,
0,,0,,1,,0,,0,,0,,1,,1,,0,,1,,0,,1,,1,,1,,0,,1,,0,,1,,0,,0,
0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,1,,0,,0,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,,0,,0,,0,,1,,1,,1,,0,,0,,0,,0,,0,,1,,1,,0,,0,,1,,1,,0,
0,,1,,1,,0,,0,,1,,1,,0,,0,,0,,0,,0,,1,,1,,0,,0,,1,,1,,1,,0,
0,,0,,1,,1,,0,,0,,0,,0,,0,,1,,1,,0,,0,,0,,1,,0,,1,,0,,1,,0,
0,,0,,1,,0,,0,,1,,0,,0,,0,,1,,0,,1,,0,,1,,1,,0,,0,,0,,1,,0,
0,,1,,1,,0,,0,,1,,0,,0,,1,,0,,1,,0,,1,,1,,1,,0,,0,,1,,1,,0,
0,,0,,1,,0,,0,,0,,0,,0,,1,,0,,1,,1,,1,,1,,1,,0,,0,,1,,1,,0,
0,,1,,0,,0,,1,,1,,1,,0,,0,,1,,0,,1,,0,,0,,1,,1,,1,,1,,0,,1,
0,,1,,1,,0,,0,,0,,1,,1,,0,,0,,1,,1,,0,,1,,1,,0,,1,,0,,1,,0,
0,,1,,0,,0,,1,,0,,1,,1,,0,,1,,1,,0,,1,,0,,1,,0,,1,,1,,0,,0,
0,,0,,1,,1,,1,,0,,0,,0,,1,,0,,1,,0,,0,,0,,1,,1,,1,,1,,1,,0,
